id,parent,focus,signal,slack,drag,confidence,score,lane,kind,invariant,mutation
m001,g001,trust boundary,96,27,6,72,375,ship,baseline,monotonic-signal,raise-signal
m002,g002,claim drift,65,11,8,55,245,ship,edge,drag-penalty,drop-slack
m003,g003,replay exposure,102,57,17,53,382,ship,recovery,confidence-floor,raise-drag
m004,g004,policy width,80,42,13,84,340,ship,negative,lane-boundary,lower-confidence
m005,g005,trust boundary,81,37,37,38,244,ship,baseline,monotonic-signal,raise-signal
m006,g006,claim drift,72,26,8,56,282,ship,edge,drag-penalty,drop-slack
m007,g007,replay exposure,31,40,23,26,113,watch,recovery,confidence-floor,raise-drag
m008,g008,policy width,102,44,43,89,353,ship,negative,lane-boundary,lower-confidence
m009,g009,trust boundary,106,48,37,101,393,ship,baseline,monotonic-signal,raise-signal
m010,g010,claim drift,54,42,14,62,238,ship,edge,drag-penalty,drop-slack
m011,g011,replay exposure,80,23,11,47,288,ship,recovery,confidence-floor,raise-drag
m012,g012,policy width,53,10,43,31,114,watch,negative,lane-boundary,lower-confidence
m013,g013,trust boundary,52,76,13,90,296,ship,baseline,monotonic-signal,raise-signal
m014,g014,claim drift,85,66,29,75,338,ship,edge,drag-penalty,drop-slack
m015,g015,replay exposure,110,45,25,29,354,ship,recovery,confidence-floor,raise-drag
m016,g016,policy width,82,66,14,40,324,ship,negative,lane-boundary,lower-confidence
m017,g017,trust boundary,80,44,34,70,286,ship,baseline,monotonic-signal,raise-signal
m018,g018,claim drift,113,60,4,40,431,ship,edge,drag-penalty,drop-slack
m019,g019,replay exposure,50,17,18,29,160,watch,recovery,confidence-floor,raise-drag
m020,g020,policy width,110,62,16,58,418,ship,negative,lane-boundary,lower-confidence
m021,g021,trust boundary,108,17,41,54,313,ship,baseline,monotonic-signal,raise-signal
m022,g022,claim drift,53,21,34,52,164,watch,edge,drag-penalty,drop-slack
m023,g023,replay exposure,78,77,39,96,329,ship,recovery,confidence-floor,raise-drag
m024,g024,policy width,94,67,33,24,307,ship,negative,lane-boundary,lower-confidence
m025,g025,trust boundary,70,45,35,55,240,ship,baseline,monotonic-signal,raise-signal
m026,g026,claim drift,92,10,37,25,237,ship,edge,drag-penalty,drop-slack
m027,g027,replay exposure,111,12,47,101,352,ship,recovery,confidence-floor,raise-drag
m028,g028,policy width,36,10,22,87,161,watch,negative,lane-boundary,lower-confidence
m029,g029,trust boundary,99,46,35,61,334,ship,baseline,monotonic-signal,raise-signal
m030,g030,claim drift,33,21,43,46,80,hold,edge,drag-penalty,drop-slack
m031,g031,replay exposure,96,27,35,43,288,ship,recovery,confidence-floor,raise-drag
m032,g032,policy width,40,62,22,76,214,ship,negative,lane-boundary,lower-confidence
m033,g033,trust boundary,115,47,41,74,384,ship,baseline,monotonic-signal,raise-signal
m034,g034,claim drift,55,31,31,28,162,watch,edge,drag-penalty,drop-slack
m035,g035,replay exposure,33,42,35,52,123,watch,recovery,confidence-floor,raise-drag
m036,g036,policy width,113,45,40,56,360,ship,negative,lane-boundary,lower-confidence
m037,g037,trust boundary,122,49,14,39,426,ship,baseline,monotonic-signal,raise-signal
m038,g038,claim drift,72,42,45,28,196,ship,edge,drag-penalty,drop-slack
m039,g039,replay exposure,55,58,48,70,197,ship,recovery,confidence-floor,raise-drag
m040,g040,policy width,50,28,19,40,180,watch,negative,lane-boundary,lower-confidence
m041,g041,trust boundary,104,15,31,51,316,ship,baseline,monotonic-signal,raise-signal
m042,g042,claim drift,33,0,38,95,118,watch,edge,drag-penalty,drop-slack
m043,g043,replay exposure,94,12,50,36,230,ship,recovery,confidence-floor,raise-drag
m044,g044,policy width,84,50,26,41,291,ship,negative,lane-boundary,lower-confidence
m045,g045,trust boundary,47,71,19,24,198,ship,baseline,monotonic-signal,raise-signal
m046,g046,claim drift,63,38,17,100,293,ship,edge,drag-penalty,drop-slack
m047,g047,replay exposure,35,76,25,99,230,ship,recovery,confidence-floor,raise-drag
m048,g048,policy width,112,22,20,47,365,ship,negative,lane-boundary,lower-confidence
m049,g049,trust boundary,75,67,22,45,293,ship,baseline,monotonic-signal,raise-signal
m050,g050,claim drift,91,11,25,42,276,ship,edge,drag-penalty,drop-slack
m051,g051,replay exposure,63,37,14,88,286,ship,recovery,confidence-floor,raise-drag
m052,g052,policy width,52,12,20,60,188,watch,negative,lane-boundary,lower-confidence
m053,g053,trust boundary,103,72,28,27,352,ship,baseline,monotonic-signal,raise-signal
m054,g054,claim drift,31,39,13,51,157,watch,edge,drag-penalty,drop-slack
m055,g055,replay exposure,47,26,14,68,207,ship,recovery,confidence-floor,raise-drag
m056,g056,policy width,102,17,26,25,296,ship,negative,lane-boundary,lower-confidence
m057,g057,trust boundary,54,15,16,27,172,watch,baseline,monotonic-signal,raise-signal
m058,g058,claim drift,64,40,13,69,275,ship,edge,drag-penalty,drop-slack
m059,g059,replay exposure,77,37,32,52,256,ship,recovery,confidence-floor,raise-drag
m060,g060,policy width,43,32,41,37,116,watch,negative,lane-boundary,lower-confidence
m061,g061,trust boundary,83,67,30,94,350,ship,baseline,monotonic-signal,raise-signal
m062,g062,claim drift,49,41,26,35,171,watch,edge,drag-penalty,drop-slack
m063,g063,replay exposure,81,47,11,53,321,ship,recovery,confidence-floor,raise-drag
m064,g064,policy width,59,47,16,10,202,ship,negative,lane-boundary,lower-confidence
m065,g065,trust boundary,105,50,23,99,418,ship,baseline,monotonic-signal,raise-signal
